fish_id,stage,site,reef,birth_date,pelagic_larval_duration,birth_lunar_day,birth_lunar_month,birth_lunar_phase,birth_moon_first_half,birth_moon_second_half
387,settler,TMM,NA,2017-01-19,42,22,1163,dernier_quartier,0.030555556,1
388,settler,TMM,NA,2017-01-21,39,24,1163,dernier_quartier,0,0.869444444
389,settler,TMM,NA,2017-01-22,39,25,1163,dernier_quartier,0,0.755555556
390,settler,MMM,NA,2017-01-18,43,21,1163,pleine_lune,0.086111111,1
391,settler,MMM,NA,2017-01-23,38,26,1163,dernier_quartier,0,0.636111111
392,settler,MMM,NA,2017-01-25,41,28,1163,dernier_quartier,0,0.372222222
393,settler,MMM,NA,2017-01-18,42,21,1163,pleine_lune,0.086111111,1
397,settler,VME,NA,2017-01-19,45,22,1163,dernier_quartier,0.030555556,1
398,settler,VMW,NA,2017-01-31,40,4,1164,nouvelle_lune,0.6,0
399,settler,MOM,NA,2017-01-10,47,13,1163,premier_quartier,1,0.863888889
400,settler,MOM,NA,2017-01-22,44,25,1163,dernier_quartier,0,0.755555556
401,settler,MOM,86,2017-02-02,46,6,1164,nouvelle_lune,0.847222222,0
402,settler,TOM,NA,2017-01-18,48,21,1163,pleine_lune,0.086111111,1
403,settler,TOM,NA,2017-01-27,50,0,1164,nouvelle_lune,0.102777778,0.086111111
404,settler,TOM,NA,2017-01-28,51,1,1164,nouvelle_lune,0.230555556,0
405,settler,TOM,NA,2017-01-31,48,4,1164,nouvelle_lune,0.6,0
406,settler,TOM,NA,2017-01-29,50,2,1164,nouvelle_lune,0.355555556,0
410,settler,MMM,NA,2017-02-02,42,6,1164,nouvelle_lune,0.847222222,0
411,settler,MMM,NA,2017-01-20,42,23,1163,dernier_quartier,0,0.980555556
412,settler,TMM,NA,2017-01-17,45,20,1163,pleine_lune,0.194444444,1
413,settler,TMM,NA,2017-01-27,49,0,1164,nouvelle_lune,0.102777778,0.086111111
414,settler,TMM,NA,2017-01-23,43,26,1163,dernier_quartier,0,0.636111111
415,settler,VOE,NA,2017-02-02,49,6,1164,nouvelle_lune,0.847222222,0
416,settler,VOE,NA,2017-02-08,44,12,1164,premier_quartier,1,0.816666667
422,settler,VOE,60,2017-02-03,45,7,1164,premier_quartier,0.980555556,0
423,settler,VOE,42,2017-01-29,51,2,1164,nouvelle_lune,0.355555556,0
425,settler,VOW,NA,2017-02-02,48,6,1164,nouvelle_lune,0.847222222,0
427,settler,VOW,NA,2017-02-06,45,10,1164,premier_quartier,1,0.494444444
428,settler,VOW,NA,2017-02-03,48,7,1164,premier_quartier,0.980555556,0
431,settler,VMW,NA,2017-02-08,43,12,1164,premier_quartier,1,0.816666667
432,settler,VMW,NA,2017-02-08,45,12,1164,premier_quartier,1,0.816666667
433,settler,VMW,NA,2017-02-04,46,8,1164,premier_quartier,1,0.161111111
434,settler,VMW,NA,2017-01-29,50,2,1164,nouvelle_lune,0.355555556,0
435,settler,VMW,NA,2017-01-28,51,1,1164,nouvelle_lune,0.230555556,0
438,settler,TOM,NA,2017-02-10,43,14,1164,premier_quartier,0.9,1
439,settler,TOM,NA,2017-01-28,54,1,1164,nouvelle_lune,0.230555556,0
441,settler,TOM,NA,2017-01-31,51,4,1164,nouvelle_lune,0.6,0
442,settler,TOM,NA,2017-02-09,41,13,1164,premier_quartier,1,0.963888889
443,settler,TMM,127,2017-01-28,55,1,1164,nouvelle_lune,0.230555556,0
444,settler,TMM,125,2017-02-06,46,10,1164,premier_quartier,1,0.494444444
445,settler,TMM,125,2017-02-04,47,8,1164,premier_quartier,1,0.161111111
446,settler,TMM,NA,2017-02-09,43,13,1164,premier_quartier,1,0.963888889
451,settler,TMM,NA,2017-02-10,43,14,1164,premier_quartier,0.9,1
452,settler,MMM,117,2017-02-11,42,15,1164,pleine_lune,0.775,1
454,settler,MMM,NA,2017-02-01,49,5,1164,nouvelle_lune,0.722222222,0
455,settler,MMM,NA,2017-02-05,49,9,1164,premier_quartier,1,0.327777778
457,settler,MMM,NA,2017-01-24,56,27,1163,dernier_quartier,0,0.508333333
458,settler,MMM,NA,2017-02-10,40,14,1164,premier_quartier,0.9,1
460,settler,MOM,NA,2017-02-03,47,7,1164,premier_quartier,0.980555556,0
461,settler,MOM,NA,2017-02-03,48,7,1164,premier_quartier,0.980555556,0
464,settler,MOM,NA,2017-01-28,56,1,1164,nouvelle_lune,0.230555556,0
465,settler,MOM,NA,2017-02-03,48,7,1164,premier_quartier,0.980555556,0
468,settler,VME,NA,2017-02-07,45,11,1164,premier_quartier,1,0.658333333
469,settler,VME,NA,2017-02-05,45,9,1164,premier_quartier,1,0.327777778
470,settler,VME,NA,2017-02-12,41,16,1164,pleine_lune,0.655555556,1
471,settler,TOM,NA,2017-02-12,44,16,1164,pleine_lune,0.655555556,1
472,settler,TOM,NA,2017-02-07,49,11,1164,premier_quartier,1,0.658333333
473,settler,TOM,NA,2017-02-10,44,14,1164,premier_quartier,0.9,1
474,settler,TOM,NA,2017-02-05,47,9,1164,premier_quartier,1,0.327777778
475,settler,TOM,NA,2017-02-10,45,14,1164,premier_quartier,0.9,1
476,settler,TMM,127,2017-02-23,37,27,1164,dernier_quartier,0,0.45
477,settler,TMM,NA,2017-02-13,46,17,1164,pleine_lune,0.541666667,1
478,settler,TMM,NA,2017-02-15,43,19,1164,pleine_lune,0.325,1
479,settler,TMM,NA,2017-02-18,41,22,1164,dernier_quartier,0.044444444,1
480,settler,MMM,NA,2017-02-09,49,13,1164,premier_quartier,1,0.963888889
482,settler,MMM,NA,2017-02-14,41,18,1164,pleine_lune,0.433333333,1
484,settler,VOW,NA,2017-02-14,45,18,1164,pleine_lune,0.433333333,1
485,settler,VOW,NA,2017-02-22,42,26,1164,dernier_quartier,0,0.594444444
486,settler,VOW,7,2017-02-21,39,25,1164,dernier_quartier,0,0.730555556
488,settler,VMW,NA,2017-02-11,51,15,1164,pleine_lune,0.775,1
489,settler,VMW,NA,2017-02-13,47,17,1164,pleine_lune,0.541666667,1
490,settler,VMW,NA,2017-02-16,45,20,1164,pleine_lune,0.216666667,1
491,settler,VMW,NA,2017-02-23,41,27,1164,dernier_quartier,0,0.45
492,settler,VME,NA,2017-02-14,46,18,1164,pleine_lune,0.433333333,1
493,settler,TOM,148,2017-02-20,43,24,1164,dernier_quartier,0,0.861111111
494,settler,TOM,NA,2017-02-24,44,28,1164,dernier_quartier,0,0.3
495,settler,TOM,NA,2017-02-21,47,25,1164,dernier_quartier,0,0.730555556
496,settler,TOM,NA,2017-02-19,46,23,1164,dernier_quartier,0,0.986111111
497,settler,TOM,NA,2017-02-18,43,22,1164,dernier_quartier,0.044444444,1
499,settler,TMM,NA,2017-02-15,46,19,1164,pleine_lune,0.325,1
